site_key,domain,category_labels,platform,access_profile,cdn,crawl_delay,sitemap_kind,status,est_urls,earliest_year,est_days,wave,exclusion_reason,shared_with,universities,tabs,source_rows,sample_url,notes,workbook_done
,dailyprincetonian.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Princeton University 🌿,National Universities,National Universities:2,https://www.dailyprincetonian.com/,,
,thetech.com,National Universities,unknown,open,none,,none,workbook_done_no_local_output,,,,,,,MIT,National Universities,National Universities:3,https://thetech.com/,workbook_done_marker,yes
,thecrimson.com,National Universities,unknown,cloudflare,cloudflare,,single,recon_done,137,,0.0,,,,Harvard 🌿,National Universities,National Universities:4,https://www.thecrimson.com/,,
,stanforddaily.com,National Universities,wordpress,cloudflare,cloudflare,,yoast,recon_done,39111,2009,5.4,,,,Stanford University,National Universities,National Universities:5,https://stanforddaily.com/,,
yale,yaledailynews.com,National Universities,unknown,datacenter_blocked,,,,configured,,,,,,,Yale Universty 🌿,National Universities,National Universities:6,https://yaledailynews.com/,Vercel checkpoint; returns 429 to the AWS server; run from the Mac only,
chicago,chicagomaroon.com,National Universities,unknown,,,,,configured,,,,0,,,University of Chicago,National Universities,National Universities:7,https://chicagomaroon.com/,Full run on the Mac (tmux chicago-full),
duke,dukechronicle.com,National Universities,unknown,waf_browser_ua,,,,configured,,,,,,,Duke University,National Universities,National Universities:8,https://www.dukechronicle.com/,AWS ELB WAF refuses the honest UA; browser UA approved for Duke only,
,jhunewsletter.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Johns Hopkins University,National Universities,National Universities:9,https://www.jhunewsletter.com/,,
northwestern,dailynorthwestern.com,National Universities,unknown,,,,,configured,,,,0,,,Northwestern Univeristy,National Universities,National Universities:10,https://dailynorthwestern.com/,Full run on the server (newspaper-scraper@northwestern),
,thedp.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Univeristy of Pennsylvania 🌿,National Universities,National Universities:11,https://www.thedp.com/,,
,cornellsun.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Cornell University 🌿,National Universities,National Universities:12,https://www.cornellsun.com/,,
,browndailyherald.com,National Universities,unknown,waf_browser_ua,aws_elb,,,recon_done,,,,,,,Brown University 🌿,National Universities,National Universities:13,https://www.browndailyherald.com/,,
,thedartmouth.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Dartmouth College 🌿,National Universities,National Universities:14,https://www.thedartmouth.com/,,
