tab,source_row,university_name,ranking_raw,newspaper_raw,url,domain,done,notes
Christian Colleges,2,Texas Christian University,#1,https://tcu360.com/,https://tcu360.com/,tcu360.com,,
Christian Colleges,3,Southern Methodist Univeristy,#2,https://smudailycampus.com/,https://smudailycampus.com/,smudailycampus.com,,
Christian Colleges,4,College of the Ozarks,#3,The Outlook: https://www.instagram.com/the.outlook.cofo/,https://www.instagram.com/the.outlook.cofo/,instagram.com,,label:The Outlook: https://www.instagram.com/the.outlook.cofo/
Christian Colleges,5,St. Olaf College,#4,https://olafmessenger.com/,https://olafmessenger.com/,olafmessenger.com,,
Christian Colleges,6,Oklahoma City Univeristy,#5,https://www.oudaily.com/,https://www.oudaily.com/,oudaily.com,,
Christian Colleges,7,Wheaton College--Illinois,#6,https://thewheatonrecord.com/,https://thewheatonrecord.com/,thewheatonrecord.com,,
Christian Colleges,8,Moody Bible Institute,#7,"Newspaper was the ""The Moody Standard"" but was discontinued in 2019",,,,"non_url:Newspaper was the ""The Moody Standard"" but was discontinued in 2019"
Christian Colleges,9,Harding Univeristy,#8,https://thelink.harding.edu/the-bison/,https://thelink.harding.edu/the-bison/,thelink.harding.edu,,
Christian Colleges,10,Biola Univeristy,#9,https://chimesnewspaper.com/,https://chimesnewspaper.com/,chimesnewspaper.com,,
Christian Colleges,11,Union Univeristy,#10,https://concordiensis.com/,https://concordiensis.com/,concordiensis.com,,
Christian Colleges,12,Hope College,#11,https://anchor.hope.edu/,https://anchor.hope.edu/,anchor.hope.edu,,
Christian Colleges,13,Baylor Univeristy,#12,https://baylorlariat.com/,https://baylorlariat.com/,baylorlariat.com,,
Christian Colleges,14,Lipscomb Univeristy,#13,https://lipscombmedia.com/,https://lipscombmedia.com/,lipscombmedia.com,,
Christian Colleges,15,Point Loma Nazarene Univeristy,#14,https://lomabeat.com/,https://lomabeat.com/,lomabeat.com,,
Christian Colleges,16,California Baptist University,#15,https://calbaptist.edu/academics/library/collections/archives/banner,https://calbaptist.edu/academics/library/collections/archives/banner,calbaptist.edu,,
Christian Colleges,17,Cedarville University,#16,https://digitalcommons.cedarville.edu/cedars/,https://digitalcommons.cedarville.edu/cedars/,digitalcommons.cedarville.edu,,
