tab,source_row,university_name,ranking_raw,newspaper_raw,url,domain,done,notes
National Universities,2,Princeton University 🌿,#1,https://www.dailyprincetonian.com/,https://www.dailyprincetonian.com/,dailyprincetonian.com,,
National Universities,3,MIT,#2,https://thetech.com/,https://thetech.com/,thetech.com,done,
National Universities,4,Harvard 🌿,#3,https://www.thecrimson.com/,https://www.thecrimson.com/,thecrimson.com,,
National Universities,5,Stanford University,#4,https://stanforddaily.com/,https://stanforddaily.com/,stanforddaily.com,,
National Universities,6,Yale Universty 🌿,#4,https://yaledailynews.com/,https://yaledailynews.com/,yaledailynews.com,,
National Universities,7,University of Chicago,#6,https://chicagomaroon.com/,https://chicagomaroon.com/,chicagomaroon.com,,
National Universities,8,Duke University,#7,https://www.dukechronicle.com/,https://www.dukechronicle.com/,dukechronicle.com,,
National Universities,9,Johns Hopkins University,#7,https://www.jhunewsletter.com/,https://www.jhunewsletter.com/,jhunewsletter.com,,
National Universities,10,Northwestern Univeristy,#7,https://dailynorthwestern.com/,https://dailynorthwestern.com/,dailynorthwestern.com,,
National Universities,11,Univeristy of Pennsylvania 🌿,#7,https://www.thedp.com/,https://www.thedp.com/,thedp.com,,
National Universities,12,Cornell University 🌿,#12,https://www.cornellsun.com/,https://www.cornellsun.com/,cornellsun.com,,
National Universities,13,Brown University 🌿,#13,https://www.browndailyherald.com/,https://www.browndailyherald.com/,browndailyherald.com,,
National Universities,14,Dartmouth College 🌿,#13,https://www.thedartmouth.com/,https://www.thedartmouth.com/,thedartmouth.com,,
National Universities,15,Columbia Univeristy 🌿,#15,https://www.columbiaspectator.com/,https://www.columbiaspectator.com/,columbiaspectator.com,done,
National Universities,17,"University of California, Berkeley",#15,https://www.dailycal.org/,https://www.dailycal.org/,dailycal.org,,
National Universities,18,Rice University,#17,https://www.ricethresher.org/,https://www.ricethresher.org/,ricethresher.org,,
National Universities,19,"University of California, Los Angeles",#17,https://dailybruin.com/,https://dailybruin.com/,dailybruin.com,,
National Universities,20,Vanderbilt University,#17,https://vanderbilthustler.com/,https://vanderbilthustler.com/,vanderbilthustler.com,,
National Universities,21,Carnegie Mellon Univeristy,#20,https://digitalcollections.library.cmu.edu/cmu-collection/tartan,https://digitalcollections.library.cmu.edu/cmu-collection/tartan,digitalcollections.library.cmu.edu,,
National Universities,22,"Univeristy of Michigan, Ann Arbor",#20,https://www.michigandaily.com/,https://www.michigandaily.com/,michigandaily.com,,
National Universities,23,Univeristy of Notre Dame,#20,https://www.ndsmcobserver.com/,https://www.ndsmcobserver.com/,ndsmcobserver.com,,
National Universities,24,Washington Univeristy in St. Louis,#20,https://www.studlife.com/news,https://www.studlife.com/news,studlife.com,,
National Universities,25,Emory University,#24,https://www.emorywheel.com/,https://www.emorywheel.com/,emorywheel.com,,
National Universities,26,Georgetown University,#24,https://thehoya.com/,https://thehoya.com/,thehoya.com,,
National Universities,27,"Univeristy of North Carolina, Chapel Hill",#26,https://www.dailytarheel.com/,https://www.dailytarheel.com/,dailytarheel.com,,
National Universities,28,Univeristy of Virginia,#26,https://www.cavalierdaily.com/,https://www.cavalierdaily.com/,cavalierdaily.com,,
National Universities,29,University of Southern California,#28,https://dailytrojan.com/,https://dailytrojan.com/,dailytrojan.com,,
National Universities,30,Univeristy of California San Diego,#29,https://ucsdguardian.org/,https://ucsdguardian.org/,ucsdguardian.org,,
National Universities,31,Univeristy of Florida,#30,https://www.alligator.org/,https://www.alligator.org/,alligator.org,,
National Universities,32,"The University of Texas, Austin",#30,https://thedailytexan.com/,https://thedailytexan.com/,thedailytexan.com,,
National Universities,33,Georgia Institute of Technology,#32,https://nique.net/category/opinions/,https://nique.net/category/opinions/,nique.net,,
National Universities,34,New York University,#32,https://nyunews.com/,https://nyunews.com/,nyunews.com,,
National Universities,35,"University of California, Davis",#32,https://theaggie.org/,https://theaggie.org/,theaggie.org,,
National Universities,36,"Univeristy of California, Irvine",#32,https://newuniversity.org/,https://newuniversity.org/,newuniversity.org,,
National Universities,37,Boston College,#36,https://bcheights.com/,https://bcheights.com/,bcheights.com,,
National Universities,38,Tufts University,#36,https://www.tuftsdaily.com/,https://www.tuftsdaily.com/,tuftsdaily.com,,
National Universities,39,"University of Illinois Urbana, Champaign",#36,https://dailyillini.com/,https://dailyillini.com/,dailyillini.com,,
National Universities,40,"University of Wisconsin, Madison",#36,https://www.dailycardinal.com/,https://www.dailycardinal.com/,dailycardinal.com,,
National Universities,41,"University of California, Santa Barbara",#40,https://dailynexus.com/,https://dailynexus.com/,dailynexus.com,,
National Universities,42,The Ohio State University,#41,https://www.thelantern.com/,https://www.thelantern.com/,thelantern.com,,
National Universities,43,Boston University,#42,https://dailyfreepress.com/,https://dailyfreepress.com/,dailyfreepress.com,,
National Universities,44,"Rutgers University, New Brunswick",#42,https://dailytargum.com/,https://dailytargum.com/,dailytargum.com,,
National Universities,45,"University of Maryland, College Park",#42,https://dbknews.com/,https://dbknews.com/,dbknews.com,,
National Universities,46,University of Washington,#42,https://www.dailyuw.com/,https://www.dailyuw.com/,dailyuw.com,,
National Universities,47,Lehigh University,#46,https://thebrownandwhite.com/,https://thebrownandwhite.com/,thebrownandwhite.com,,
National Universities,48,Northeastern University,#46,https://huntnewsnu.com/,https://huntnewsnu.com/,huntnewsnu.com,,
National Universities,49,Purdue Univeristy,#46,https://www.purdueexponent.org/,https://www.purdueexponent.org/,purdueexponent.org,,
National Universities,50,University of Georgia,#46,https://news.uga.edu/,https://news.uga.edu/,news.uga.edu,,
National Universities,51,University of Rochester,#46,http://campustimes.org/,http://campustimes.org/,campustimes.org,,
National Universities,52,Case Western Reserve University,#51,https://observer.case.edu/,https://observer.case.edu/,observer.case.edu,,
