tab,source_row,university_name,ranking_raw,newspaper_raw,url,domain,done,notes
Public Universities,2,"University of California, Berkeley",#1,https://www.dailycal.org/,https://www.dailycal.org/,dailycal.org,,
Public Universities,3,"University of California, Los Angeles",#2,https://dailybruin.com/,https://dailybruin.com/,dailybruin.com,,
Public Universities,4,University of Michigan--Ann Arbor,#3,https://www.michigandaily.com/,https://www.michigandaily.com/,michigandaily.com,,
Public Universities,5,University of North Carolina--Chapel Hill,#4,https://www.dailytarheel.com/,https://www.dailytarheel.com/,dailytarheel.com,,
Public Universities,6,University of Virginia,#4,https://www.cavalierdaily.com/,https://www.cavalierdaily.com/,cavalierdaily.com,,
Public Universities,7,University of California San Diego,#6,https://ucsdguardian.org/,https://ucsdguardian.org/,ucsdguardian.org,,
Public Universities,8,University of Florida,#7,https://www.alligator.org/,https://www.alligator.org/,alligator.org,,
Public Universities,9,The University of Texas--Austin,#7,https://thedailytexan.com/,https://thedailytexan.com/,thedailytexan.com,,
Public Universities,10,Georgia Institute of Technology,#9,https://nique.net/,https://nique.net/,nique.net,,
Public Universities,11,"University of California, Davis",#9,https://theaggie.org/,https://theaggie.org/,theaggie.org,,
Public Universities,12,"University of California, Irvine",#9,https://newuniversity.org/,https://newuniversity.org/,newuniversity.org,,
Public Universities,13,University of Illinois Urbana-Champaign,#12,https://dailyillini.com/,https://dailyillini.com/,dailyillini.com,,
Public Universities,14,University of Wisconsin--Madison,#12,https://www.dailycardinal.com/,https://www.dailycardinal.com/,dailycardinal.com,,
Public Universities,15,"University of California, Santa Barbara",#14,https://dailynexus.com/,https://dailynexus.com/,dailynexus.com,,
Public Universities,16,The Ohio State University,#15,https://www.thelantern.com/,https://www.thelantern.com/,thelantern.com,,
Public Universities,17,Rutgers University--New Brunswick,#16,https://dailytargum.com/,https://dailytargum.com/,dailytargum.com,,
Public Universities,18,"University of Maryland, College Park",#16,https://dbknews.com/,https://dbknews.com/,dbknews.com,,
Public Universities,19,University of Washington,#16,https://www.dailyuw.com/,https://www.dailyuw.com/,dailyuw.com,,
Public Universities,20,Purdue University--Main Campus,#19,https://www.purdueexponent.org/,https://www.purdueexponent.org/,purdueexponent.org,,
Public Universities,21,University of Georgia,#19,https://news.uga.edu/,https://news.uga.edu/,news.uga.edu,,
