institution,title,subtitle,author,publication_date,section,subsection,url,text,scraped_at
The Chicago Maroon,No. 15 South Siders Sweep Trio of Weekend Matches,"Although their last game of spring break was a loss to No. 22 Tufts, the women's tennis team rebounded strongly at the Midwest Invite. They went 19–5 in the tournament, including a 9–0 shut out of their first round opponent Carthage.",Rhea Bhojwani,2016-04-04,Sports,,https://chicagomaroon.com/13880/sports/no-15-south-siders-sweep-trio-of-weekend-matches/,"Chicago’s team finished with a victory at the Midwest Invite following multiple wins over Kenyon College and UW–Whitewater this past Saturday. The Maroons, who are ranked No. 15, improved their record to 8–3 and were the second overall seed out of the 11 teams participating. The Kenyon College women dropped to 8–8 and the No. 26 ranked UW–Whitewater team fell to 8–3. For the semifinals, the South Siders competed against Kenyon College to kick off the match-filled day. Kenyon took a pair of singles victories, both in three sets, at No. 1 and No. 4, but those would be the only wins they would get on the day. Aside from these two defeats, Chicago dominated the rest of the matches as it won four singles with ease in straight sets. The No. 1 doubles tandem consisting of first-year Rachel Kim and fourth-year Lucy Tang blasted past their competition 8–2 while simultaneously allowing the Maroons to capture the clinching team point and advance to the final. Moving on to the championship match, the Maroons took on fifth-seeded UW–Whitewater. The Warhawks had surprisingly upset the top seed Wash U with a final score of 5–4 earlier in the invite. UW–Whitewater started off with a slam by taking a 2–1 lead following the doubles. The South Siders, however, rebounded and scored their first point against the No. 1 seed as Tang and Kim won the set 8–6. The singles matches played out differently as the Maroons eliminated the Warhawks with ease by winning four out of the five completed matches. Tang took her match at No. 3 within three sets while the three other victors did not give up more than four games in their astounding straight-set victories. Looking at the invite as a whole, Tang was undefeated at 4–0 in both singles and doubles. Kim was 3–1 between No. 2 singles and No. 1 doubles. In addition to these impressive performances, third-year Tiffany Chen and first-year Kat Stevanovich won both their singles matches seeded at No. 5 and No. 6, respectively. This illustrates the depth of an already solid Maroon squad as they look to improve their national ranking. “It’s a great feeling to recapture the Midwest Invite Championship again,” head coach Jay Tee said, when assessing the team’s performance on the day. “It’s been a couple years since we won it last so it feels good to be back on top of the region. We played hard and fought off some tough competition and found a way to win some close matches. Hopefully this gives us some confidence as we head into the last month of the season.” The women will face off against the No. 9 Wash U Bears next Saturday at 2 p.m. The conference rivals missed the chance to play this weekend, but it will certainly be a solid matchup.",2026-06-17T02:37:22.238337+00:00
The Chicago Maroon,"UC Dems, College Republicans Host Mock Caucuses",IOP trip sends students to Iowa to observe the much-anticipated election.,Peyton Alie,2016-02-02,News,,https://chicagomaroon.com/21453/news/uc-dems-college-republicans-host-mock-caucuses/,"University of Chicago students marked the long-anticipated Iowa caucus on-campus and off yesterday. Both the University of Chicago Democrats (UC Dems) and the College Republicans hosted mock caucuses, and the Institute of Politics (IOP) sent a group of students to Iowa to observe the caucuses in person. Hillary Clinton came out ahead at the mock Iowa caucus hosted by the UC Dems yesterday night. The mock caucus centered around three issues: the candidates’ electability, their positions on foreign policy, and their personal characters. The event functioned according to the rules of the actual Iowa caucus—delegates presented initial arguments, sorted themselves by candidate, and debated further. The 15 students who were in attendance initially split the vote with nine for Clinton, four for Bernie Sanders, and two for Martin O’Malley. Afterward, because O’Malley’s delegates did not reach 15 percent of the vote, they were required to choose another candidate. Arguments for Clinton’s superior foreign policy experience and electability swayed the O’Malley delegation to join the Clinton camp. The delegates agreed on the importance of the Iowa caucus and its ability to elicit debate. “It’s the essence of participatory democracy. You go out with members of your town and demonstrate your political values to people you buy your groceries from, your neighbors, and you have the chance to talk about political opinions with your entire community,” UC Dems president Henry Bensinger said. Some participants hoped that the Iowa caucus would give more attention to less mainstream candidates. “In terms of what is deemed politically possible or impossible, those limits need to be consistently challenged—or else we won’t be able to accomplish any new policy,” UC Dems communication director Nico Aldape said. The College Republicans also hosted a mock caucus. Second-year Max Freedman, the political liaison for College Republicans, served as the caucus chair. Freedman, who learned about Iowa politics through seminars and boot camps as an Institute of Politics Iowa Project Fellow, began the mock caucus by giving an overview of the structure of the Iowa caucus. Though the Iowa Republican caucus procedure uses written ballots, the College Republicans chose to follow the Democratic procedure, in which participants congregate in designated areas in the room to vote for their favored candidates. Members then volunteered to give brief statements of support for each Republican candidate. After the statements, participants assembled to vote. In keeping with the regulations of the Iowa Democratic caucus, only candidates who obtained more than 15 percent of votes received delegates. After the first round of voting, participants supporting candidates who did not meet this minimum were able to switch to another candidate. Marco Rubio came in first place in the mock caucus, with 12 delegates, followed by Jim Gilmore, with 11 delegates. Every other candidate was disqualified after receiving less than 15 percent of the vote. Gilmore, who is polling at less than 1 percent in Iowa, gained substantial support from participants whose first-choice candidates did not meet the 15 percent cutoff. “Who was the last person to unite the Grand Old Party? Reagan. Who’s the next person to unite the Grand Old Party? Rubio,” second-year Ernesto Ambrocio said in his statement in support of Rubio. “Jim Gilmore stands for a strong fight against terrorism, a Washington that does not intrude on our lives, and a U.S. federal government that protects the people and encourages economic growth for the middle class,” second-year James Miller said while speaking in favor of Gilmore. From January 31 to February 2, the IOP sent students to Des Moines to attend the Iowa caucus. These students went to a rally for candidate Martin O’Malley, saw the taping of ABC News’s coverage of the caucus, and met Bill Clinton, Heidi Cruz, Iowa Governor Terry Branstad, and Polk County Auditor Jamie Fitzgerald. As part of the excursion, members of The Gate , the student-run political magazine, interviewed Heidi Cruz, the wife of the Republican front-runner Ted Cruz.",2026-06-17T02:37:29.106103+00:00
The Chicago Maroon,"Admin Creates DACA Council, CC to Vote Tonight Calling for Student Representation",An administrator suggested that the University has already implemented the steps called for by one of the proposed resolutions.,Jamie Ehrlich,2017-01-03,News,,https://chicagomaroon.com/23372/news/admin-creates-daca-council-cc-vote-tonight-calling/,"A proposed College Council (CC) resolution aimed at supporting undocumented students has been amended after a senior administrator suggested the University was already pursuing the steps the resolution recommended. According to a December 20 e-mail from Dean of Students in the University Michele Rasmussen to Student Government President Eric Holmberg and CC Chair Peggy Xu that was later sent to the CC listhost, the University administration is taking several steps to support both undocumented students and students protected under President Obama’s Deferred Action for Childhood Arrivals (DACA) executive action. A group of administrators has been meeting regularly since the presidential election to identify “areas of concern and resources...for undocumented students,” and an advisory group of senior administrators co-chaired by Rasmussen and Executive Vice Provost Sian Beilock was formed recently to discuss support for students protected under DACA, according to Rasmussen’s e-mail. The administrators come from the Center for Identity + Inclusion, the Center for College Student Success, Student Counseling, UChicagoGRAD, the Offices of Legal Counsel and Federal Relations, and the School of Social Service Administration. They are planning to host support groups and forums this quarter. Beilock and Rasmussen also met with a group of “DACAmented” UChicago students, and plan to keep these students updated on “action steps” in the coming weeks, according to the e-mail. Nonetheless, CC will be convening Tuesday to vote on a non-binding resolution calling for the creation of an additional advisory body that would include students and faculty. Since Donald Trump’s election to the presidency, several universities have declared themselves so-called “sanctuary campuses,” which means they will limit cooperation with federal immigration authorities in order to protect undocumented students from deportation. University spokesperson Jeremy Manier avoided the phrase “sanctuary campus” in a recent exchange with The Maroon . Trump has promised to repeal DACA, thus eliminating work permits and protection from deportation for young people who were brought to the United States as children. Beilock and Rasmussen, along with Provost Daniel Diermeier, met with faculty who sent a December 1 letter to the Provost and President Zimmer urging them to do more to support undocumented students on campus. According to Rasmussen’s e-mail, faculty restated many of the concerns that were raised in their letter: legal services for undocumented and DACAmented students, counseling, privacy and the role of the UCPD in immigration enforcement, and financial support. “[The faculty members] also reiterated the need for broader communication of some of the University’s current policies and practices that might be poorly understood (or unknown)—these include things like the University’s stance on releasing personal information about students and staff to third parties,” Rasmussen wrote. CC will consider another non-binding resolution tonight calling on the University to become a “sanctuary campus” for undocumented students. In her e-mail to Holmberg and Xu, Rasmussen also mentioned the first meeting of the newly formed senior administrator DACA advisory group. The advisory group’s priorities are legal services, funding for current and incoming students, and communication, Rasmussen wrote. Despite calling for more aggressive action from the University to support undocumented students, first-year CC representative Jahne Brown, who co-authored the two CC resolutions, told The Maroon that she is pleased with the steps the administration has taken so far. “We really commend the progress that the University has made.... This resolution isn’t a critique of what the University has done, rather this is us seeing the great progress the University has made and asking them to carry out that commitment and asking a bit more,” Brown said. After receiving the e-mail from Rasmussen, Xu forwarded it to the three CC representatives who authored the resolutions: Brown and first-years Kosi Achife and Veronica Myers. Upon learning that an advisory council already exists, Xu and the authors considered modifying the resolution that called for an advisory council. “I think it’ll be helpful to make sure that CC and admin are in sync about what’s being done to protect undocumented/DACAmented students, primarily so we’re not wasting any energy pushing for next steps or programs that are already underway,” Xu wrote in the e-mail to the first-year representatives. In an e-mail response, Brown admitted that perhaps not all the parts of the resolutions were still necessary. However, she wrote that she was “worried” about changing the resolutions, because they were mostly written by other students who are not involved in SG (the representatives were bringing the resolutions to CC as “allies”). Shortly thereafter, Brown sent the amended resolution proposing an advisory council to Xu. It contained two changes: one maintains the right of the proposed council to set its own agenda and the other resolves that should another body release a public plan of action, the council will remain involved in all future administrative decisions. Fourth-year CC representative Joshua Engelman expressed frustration that CC is spending its time voting on a resolution that calls for the administration to create more bodies, which he called “not a good use of time.” “This kind of blatant political pandering is the reason no one takes SG seriously. SG has the potential to address serious issues, but pushing vague resolutions on the administration is not the way to do it,” Engelman said. On Monday night, Achife and Myers told The Maroon that they were still considering whether or not to bring the advisory council resolution to a vote. They ultimately decided they would. “The steps the University has taken have been very backdoor and it hasn’t been a transparent process.... We are open to our advisory council working with the bodies already in place,” Achife said. Xu told The Maroon that she plans to inform CC of the existing administrative bodies at the Tuesday night meeting. When asked whether she thought the advisory council resolution was redundant, Xu wasn’t sure. “It’s hard to know if there is a significant overlap without knowing specifics of the administrative council,” she said. All CC meetings are open to the University community. The vote will take place January 3 at 7:30 p.m. in Stuart 104. Copies of the resolutions that will be voted on tonight are below.",2026-06-17T02:37:37.129217+00:00
The Chicago Maroon,Poets Slam Down on Social Issues Through Verse,"Kevin Kantor and Queen Sheba explore identity, sexual assault, and love through slam poetry.",Brooke Nagler,2017-01-30,Arts & Culture,,https://chicagomaroon.com/23746/artsandculture/title-poets-slam-issues-race-gender-sexual-assault/,"Content Warning: This article discusses sexual assault “When they tell you that your love is just a phase, tell them that you do not like the word just, that you are not just anything,” Kevin Kantor said in the quiet buzz of Hallowed Grounds on Thursday night. These words were part of an evening of slam poetry on campus that featured two highly recognized performing artists. Kantor, a poet, teaching artist, and—as they say in their online bio—“queer agent of social change,” spoke first. They were followed by Queen Sheba, a poetry slam champion and Grammy-nominated artist. Both poets set their experiences to rhythm, composing a symphony of words as they delved into their struggles with homophobia, transphobia, sexual assault, sexism, and racism. Conceived by students, the event was a collaboration between Lion & the Slam, a poetry RSO on campus, and Student Government’s Sexual Assault Awareness and Protection Committee (SAAP). The event aimed to support students in marginalized groups and survivors of sexual assault through artistic collaboration. SAAP has been finding creative ways to spread their message of support for sexual assault survivors. In the fall, they engineered a photo campaign, taking pictures of about 200 students holding messages expressing solidarity with sexual assault victims. In the upcoming months, they plan to collaborate with Kitchen Sink, a visual arts RSO. Kosi Achife, a first-year and member of SAAP, explained how the groups chose the two speakers for the evening. In selecting two queer artists—one of whom is a queer person of color—she said that Kantor and Queen Sheba “really encapsulate the intersectional approach that we are going for.” The event certainly met its intended goal to be, in Achife’s words, a space that was diverse and inclusive. As the speakers filled the room with powerful words, the audience of about 25 was silent and captivated, as if every member could relate to the stories in some way. Kantor went into detail regarding their experience with sexual assault through “People You May Know,” a poem they wrote about the time they found their rapist on Facebook. In the poem, they described how clicking through their rapist’s pictures online brought back traumatic scenes from the incident. “It felt like the closest to revisiting a crime scene that I’ve ever been, that is if you do not count the clockwork murder that I make of my own memory every time that I drive down Colfax Avenue,” they said. When Kantor shared their poem with the world, it circulated widely on the internet. They explained that while the work was lauded as a piece on male survivorship, it was also met with criticism; many people, like journalists, doubted their story and asked them to provide more substantial evidence. “No one comes running for boys who cry rape. When I told my brother, he also asked me why I didn’t fight back. Adam, I am. Right now. I promise.” Despite identifying as gender-queer, Kantor also talked about how their male privilege factored into the discussion surrounding their poem. They are constantly misgendered, even when wearing the shirt that they proudly displayed at the event—a white tee with their pronouns written boldly on the chest. “Just search ‘they/them rose,’” Kantor replied when an audience member asked them how to find it online. Kantor ended their recitation with a poem they created as a response to a message they received on Tumblr. The message was from a young person whose grandmother refused to believe that they were gay. Kantor told them: “If anyone ever tries to tell you that you love wrong... tell them that you are sorry that they would rather live in darkness than learn to love your light.” At the end, they added “P.S. We hear you, loud and clear.” After Kantor’s moving performance, Queen Sheba took the stage, with a presentation mirroring the grace with which Kantor divulged their difficult personal struggles. Sheba started by saying that Kantor’s words about phases of attraction, along with caffeine, prompted her to compose a tweet, which she read to us in real time: “If I’ve been gay since fourth grade with S.D. when she slept over and taught me how to explore, at nine-years-old...were men ‘the phase’?’” Sheba’s dialogue with Kantor, who then went into the audience, continued throughout the night, a testament to the interactive and collaborative environment of slam poetry. At one point, Sheba solicited the audience for questions, claiming she could solve our life’s problems. “I can’t do that,” Kantor comically interjected from the audience. Nevertheless, both were able to give helpful advice throughout the evening. Sheba addressed a variety of people with her poems. She wrote a poem to her son and his grandmother, called “You Told My Son I Was Going to Hell Because I Have a Girlfriend.” She also discussed how difficult it is to be in public with her girlfriend—the stares, the taunts, and the gossip are reactions for which she would never have asked. “We are perfectly dysfunctional like any normal couple, but we’re not allowed to hold hands,” she said. “And if I get sick, her insurance doesn’t cover me—on paper, I’m her niece.” She delves further, exploring the male gaze on her relationship. “Men don’t bother to whisper. ‘What a waste,’ they always say. ‘But you’re so pretty’ always follows.” At the end of the poem, Sheba admitted to us, “That was scary to read in front of y’all.” She finds intimate audiences more intimidating than big crowds, because the former are all watching and paying attention. If that’s the case, her performance belied her fear: She looked brave, bold, and eager to speak her mind as her poems confidently streamed from her lips, booming and reverberating. She talked about her childhood, explaining that she was adopted by two white parents at an early age. “Adopting me, they said, was their effort to try to save the world. Good thing for them, their color would fade.” Along with accounts of her childhood experiences, Sheba called on collective identities. In “We Are Warriors First,” she urged women struggling around the world to fight against sexism and refuse to stay silent. “This is about way more than taking back the night—it’s about taking back our lives.” But while she spoke with fierce language of the universal nature of hardship, she also peppered the conversation with lightheartedness. She asked us about our favorite artists and our Chicago crushes. We argued over our opinions of Future, and she admitted her celebrity crush is Tracee Ellis Ross. Sheba’s fiancée, an artist known as DJ Knodat, sat at the turntables on the side of the stage during Sheba’s performance. “Going through this relationship... exposes a lot of me that [I was concealing] for so long...I’ve been Queen Sheba for so long. That’s all I knew how to be.” With this confession, she offered us advice. She urged us to remember that we are all putting on facades to become the characters we want to be. In order to really know someone, you have to make a concerted effort. “Give people a chance, and then give them a second chance,” she said.",2026-06-17T02:37:45.276361+00:00
The Chicago Maroon,Zimmer to Take Student Questions Next Quarter at Rare Open Forum,"He will discuss ""the state of free expression and open discourse on campus.""",Pete Grieve,2018-03-29,News,,https://chicagomaroon.com/25208/news/zimmer-take-student-questions-next-quarter-rare-op/,"Update (3/29/18): The event is scheduled for 5:00 p.m. in I-House. College students can register here . Update (1/30/18): The event has been scheduled for Thursday, April 5, wth David Axelrod as the moderator. University President Robert J. Zimmer will take questions from students next quarter at an open event about free speech. There will be a moderated discussion with Dean of the College John Boyer followed by audience questions. Dean of Students in the University Michele Rasmussen shared information about the event with Student Government to be publicized to the student body. “I am pleased to let you know that President Zimmer and Dean Boyer have confirmed their participation in an event for students in the College where they will discuss salient topics in higher education including the state of free expression and open discourse on campus,” Rasmussen wrote. “As for the format, we envision a moderated conversation between President Zimmer and Dean Boyer, followed by an opportunity for questions from the student audience.” The University’s goal is to schedule the event for winter quarter, though the date and location have not been set.",2026-06-17T02:37:52.946133+00:00
The Chicago Maroon,Strong Showing at Invitational for Wrestling,"The wrestling team competed in the Wheaton Pete Wilson Wrestling Invitational, finishing in 14th place out of 38 teams.",Kevin Johnston,2018-01-30,Sports,,https://chicagomaroon.com/25400/sports/strong-showing-invitational-wrestling/,"This past weekend, the UChicago wrestling team competed at the Pete Willson-Wheaton Wrestling Invitational, the largest wrestling meet in the nation for smaller universities. The invitational brought together an enormous group of wrestlers from a wide variety of schools, ensuring that the competition would be fierce. With over 38 teams at the tournament, UChicago managed to place a very respectable 14th over the two-day competition while fighting against some elite competition, all the while scoring 48 team points. The standout performers for the Maroons were second-years Steve Bonsall and Kahlan Lee-Lermer, who both managed to place in the top eight in their respective weight classes. Both Lee-Lermer and Bonsall managed to better their results from last year’s Pete Willson-Wheaton Invitational, where both placed seventh. Lee-Lermer had a tough schedule in the 165-pound weight division. He faced off against five opponents on the first day of the invitational, winning four of those matchups. Those four wins included two third-period pins, a crushing 11–0 major decision and a close 3–1 decision victory. His one loss came to the No. 2 seed wrestler from Olivet College, a matchup that would be repeated during the next and final day of competition. The next day, Lee-Lermer managed to win his first two duels, with scores of 7–2 and 13–6, including a revenge victory over the same Olivet wrestler who had handed him his only loss the day before. Unfortunately for Lee-Lermer, the No. 6 wrestler from Wisconsin-La Crosse managed to defeat him in the third-place bout, ending Lee-Lermer’s run with a very respectable fourth-place finish. Second-year Steve Bonsall made a similar run to Lee-Lermer in the 157-pound weight division. Bonsall entered the tournament as the No. 1 seed in his division, and he certainly lived up to those weighty expectations. Bonsall triumphed in his two opening matches, coming out victorious with a 9–5 victory and an excruciatingly close 2–1 victory. However, Bonsall would fall out of the winner’s bracket in the quarterfinals, which meant he would have to make a run in the consolation ladder to place on the podium. Bonsall managed another victory after that loss, allowing him to continue wrestling the next day. Although Bonsall was only in the consolation ladder, he still faced a difficult lineup of opponents. On his march toward third place, Bonsall had to fight off the No. 4, No. 7, and No. 2 seeds. Each of those matchups went in Bonsall’s favor, including a 16–1 technical fall victory over the No. 2 seed from the University of Mount Union. Third-year John Jayne praised Bonsall’s performance, saying, “Once again, some of the lads were in impeccable form. Steve ‘The Wolf’ Bonsall really impressed me, fighting his way to third place.” Jayne also remarked on how he felt the team was shaping up as the Maroons begin to eye the end of the season. “The team is upping the intensity in the wrestling room as we get closer to the final stretch of the season,” Jayne said. The next matchup on the Maroons’ docket will take place this Friday at Augustana College.",2026-06-17T02:38:00.945191+00:00
The Chicago Maroon,UChicago President Robert Zimmer Voted in the 2016 Republican Primary,Illinois requires voters to declare their affiliation with a political party at the polling place before voting in that party’s primary.,Euirim Choi,2019-01-03,News,,https://chicagomaroon.com/26449/news/uchicago-president-robert-zimmer-voted-2016-republ/,"University of Chicago President Robert Zimmer voted in Illinois’s Republican primary in the 2016 election, according to public voting histories. Illinois requires voters at the state, congressional, and presidential levels to declare their affiliation with a political party at the polling place before voting in that party’s primary. Such declarations are recorded and made public. Zimmer has long been coy about his politics, declining to answer a question on the subject in a 2016 interview with The Maroon. In recent years, however, he has become somewhat of a celebrity in conservative circles, earning praise from commentators for publications like the National Review and The Federalist for attacking “safe spaces” and “trigger warnings” as the public face of the University of Chicago’s purportedly pro-free speech stance. Under Zimmer’s leadership, the University has taken a strong anti-union position with respect to graduate student workers, refusing to negotiate following a decisive vote in favor of unionization in 2017, even as other universities like Harvard have done the opposite. Zimmer has also led the University as it sent several letters to the Donald Trump administration in opposition to its immigration policies, though at times UChicago has responded to the current administration more moderately than other colleges, opting not to declare itself a “sanctuary campus” and declining to join hundreds of universities in endorsing the Paris climate agreement. Zimmer voted in a primary election in only one other year since 2000 according to public voting histories, voting in the Democratic primary in 2008. Other well-known campus figures found in public voting histories include economics lecturer Allen Sanderson (voted in the 2010 Democratic primary), law school professor and philosopher Martha Nussbaum (voted in the 2000, 2002, 2004, 2008, 2010, and 2016 Democratic primaries), and Nobel laureate and Booth professor Eugene Fama (voted in the 2010 and 2014 Republican primaries). Provost Daniel Diermeier did not vote in a recent primary, according to the voting histories. The voting histories were aggregated and made easily accessible by the mobile application VoteWithMe , a project run by the New Data Project, a progressive nonprofit founded by former Google engineer and Barack Obama administration alumnus Mikey Dickerson. Data for the most recent election cycle was not yet available at the time of publication.",2026-06-17T02:38:07.998883+00:00
The Chicago Maroon,"Following Pipe Rupture, Residents of Ronald McDonald House Forced to Relocate",The charity is fundraising to cover relocation costs for the families.,Caroline Kubzansky,2019-02-04,News,,https://chicagomaroon.com/26580/news/following-pipe-rupture-residents-ronald-mcdonald-h/,"A pipe in the Ronald McDonald House on East 55th Street and South Drexel Avenue burst on Friday morning following last week’s polar vortex, the Tribune reported on Monday. Families in the house, who have children undergoing treatment at nearby Comer Children’s Hospital, had to remove their belongings and move to a hotel half a mile away. The Ronald McDonald House Charity is fundraising to help cover the cost of hotel rooms, meals, transportation, and other incidentals for the relocated families. The current priority is getting the house dried out, said Holly Buckendahl, the Chicagoland Chief Operating Officer for the Ronald McDonald Houses. She added that repairs would take place in a two to three month timeframe. The Hyde Park Herald reported that the flood created about two feet of standing water in the house’s basement and did extensive damage to all three floors of the building, which contain 22 guest rooms. Families have relocated to the La Quinta Inn on Lake Shore Drive to wait out the repairs, and are using subsidized Uber rides to reach the hospital. The house itself is also open for item donations between 10 a.m. and 4 p.m.",2026-06-17T02:38:15.595312+00:00
The Chicago Maroon,Appeals Court: UChicago Must Bargain With Student Library Workers | Newsletter for January 6,Here’s what you missed over break.,"Deepti Sailappan, Lee Harris, Emma Dyer, Matthew Lee",2020-01-06,Newsletter,,https://chicagomaroon.com/27398/newsletter/uchicago-student-library-workers-nlrb/,"It’s first week. Welcome to winter quarter ❄️ Dress for a toasty 40° F, with temperatures well above freezing forecasted through the next ten days. So much for that infamous Chicago winter. Here’s what you missed over break. The University must recognize student library workers’ collective bargaining efforts, an appeals court ruled late last month. Local Market has opened in South Shore. The supermarket, a branch of Shop and Save, is located at East 71st and South Jeffery Avenue: and alleviates South Shore’s food desert status. 2020 campaigns are heating up, one month out from the Iowa caucuses. Building on legalized marijuana: As lines form outside dispensaries statewide—recreational use officially became legal in Illinois on January 1—local representatives look to refine the legalization law. San Francisco’s new district attorney, Chesa Boudin, takes office this week after a startling electoral victory in November. A Sun-Times profile explores Boudin’s Hyde Park ties: The son of jailed leftist radicals, he was raised in Chicago by Bill Ayers, a leader of the Weather Underground, and graduated from UChicago’s Laboratory School. Boudin, a public defender and Rhodes Scholar, made headlines this fall for his abolitionist positions and intense opposition from San Francisco police. In Viewpoints Editor Meera Santhanam writes in: Columnist Andrew Farry argues that it is important to develop UChicago’s brand name —and not just for narcissistic reasons. Subscribe at chicagomaroon.com/newsletter . Feedback via e-mail .",2026-06-17T02:38:22.533217+00:00
The Chicago Maroon,"On First Day of Final Push, UChicago for Bernie Reflects on Months of Buildup","Going into the last weekend of canvassing, UChicago students supporting the Vermont senator are preparing to redouble their efforts ahead of the Illinois primary.",Avi Waldman,2020-02-03,News,,https://chicagomaroon.com/27500/news/first-day-final-push-uchicago-bernie-reflects-mont/,"IOWA CITY, Iowa: A little after noon on February 1, the car carrying canvassers with UChicago for Bernie takes a wrong turn on an unpaved road somewhere near Iowa City, Iowa. The canvassers are searching for a house belonging to the Sanders campaign’s regional field director, where several UChicago for Bernie organizers are staying. Over the course of multiple trips to Iowa, the group’s volunteer base has developed close relationships with campaign staff—so close that UChicago students this weekend will camp out not only in regional field director Jodi Clemens’s house, but in the homes of her mother, mother-in-law, and aunt scattered around Iowa City. This is UChicago for Bernie’s sixth trip to Iowa since November to canvass before the Democratic caucus on Monday. They’ve brought close to 130 people on this trip from Chicago to Davenport, Waterloo, and Iowa City. Most of the canvassers are UChicago students, but UChicago for Bernie has become a rallying point among students supporting Sanders from the broader Chicago area as well. The group also plans to send members to other schools in Illinois ahead of the Illinois primary in order to support the leaders of other Students for Bernie chapters. “I’m so proud UChicago has such a strong Bernie chapter,” said Kit Ginzky, lead organizer and a Ph.D. student in the School of Social Service Administration. “There are so many schools with huge numbers of working students for whom getting involved in this work could be really effective and meaningful and a good experience but they’re working students so they might not have [the infrastructure] set up.” According to Ginzky, the group began as a meeting of a few Sanders supporters and gradually grew into a more robust organization that has held rallies on campus and hosted weekly phone banks . Ginzky recruited students she saw posting pro-Sanders content on Facebook, offering them the chance to advocate for their candidate offline as well. Ginzky estimated the volume of work UChicago volunteers have contributed to be equal to multiple full-time staffers. “Among our core organizers, we’ve probably put in the equivalent of three full-time workers for the campaign,” Ginzky said. Most Sanders canvassers have what they call a “Bernie story”: a personal narrative illustrating their connection to Sanders’s platform or the power of his ideas. Ginzky’s grandfather, an Army veteran and farmer in southern Illinois who voted Republican most of his life, heard Sanders speak on television and was won over. For the holidays that year, Ginzky gave her grandparents Sanders merchandise. Ginzky’s grandparents became such committed Sanders fans that when her grandmother passed away suddenly a little over a year ago, Sanders wrote her grandfather a condolence letter. Ginzky cited her grandfather’s support as an example of Sanders’s cross-generational appeal. “Seniors and millennials share this need for a stable public social system,” Ginzky said, explaining that programs like Medicare for All respond to concerns held by both demographics. When Ginzky and her colleagues were initially forming UChicago for Bernie, she said they wanted to make sure that Sanders’s alma mater represented him in a way characteristic of the University’s distinctive identity. Ginzky described one of the peculiarly UChicago moments from a past Iowa trip that she felt characterized UChicago for Bernie. On the drive back to Chicago after a canvassing weekend, both Kit and her husband Ben Ginzky shared a car with first year mathematics Ph.D. student Chris Wilson. After hearing the Ginzkys talk about wishing they’d taken more math courses as undergraduates, Wilson invited them to audit his calculus class and launched into an explanation of several proofs in analysis and set theory that filled the long hours on the road. “That really guides us,” Ginzky said, “the life of the mind and the practice of solidarity among workers.”",2026-06-17T02:38:29.154642+00:00
